user_uid,first_unlocked_chimera
199e2aaa-ce87-438b-bd14-58d0500d3d4b,Flaming
26e3e5d9-6cc8-465c-8c1c-ada2f0cad5d9,Aquatic
cae99468-78a4-4a1d-ac45-0e19c249f610,Flaming
d38919b9-85d6-43ac-99c0-998043753066,Flaming
5f67499b-ce85-4cea-80e2-b487a023047f,Natural
b2313551-a394-4365-82c2-7b647bbb59e8,Lightning
f885715e-25be-4261-8761-bbd92b39a2a6,Flaming
96eab021-e813-4fbd-95b8-8e2561046730,Aquatic
46b6f5a8-9f0e-4b35-b06d-79975326c2cc,Aquatic
494b788a-3c73-4738-95ce-0ef97ad268c7,Flaming
651b6430-b214-4cfb-8e6f-7af58c9f7df2,Aquatic
39f87d8a-d4c9-4992-a1d9-4c634378f312,Lightning
e622c88e-2615-48a7-a770-8119972e2cfd,Natural
fee57baf-9d34-49d5-aa38-1d0bd8bcc609,Natural
4b3b1a25-7986-4153-a9d8-5fa4cf214b4a,Flaming
874c7b3a-290a-47a0-be7f-4a6dee5f5d49,Lightning
d40312c5-b7bd-449e-a6ad-dfb84734e533,Aquatic
fadb9111-9911-4a6b-8d35-305af43432a5,Fairy
e7b1b24e-88ac-4520-988e-ef68daeb0987,Lightning
f0270980-1ed5-41c7-8482-6eb99863811b,Lightning
381920cc-f77d-47d0-aaff-5b6ed2a3f24c,Lightning
38a1f756-1d0c-426a-b46f-5d9f16476878,Aquatic
20175818-55ed-432c-80c0-75e3c792fc71,Flaming
f386dea0-3b4d-43e1-a31f-e3c935e45600,Lightning
0340eafe-6eb9-4d01-9f1b-2c9e52637ff5,Fairy
f9171456-894c-434d-8eb5-a8ec23c98444,Flaming
3fb57f43-5be3-4d09-9a36-46e32a540fe9,Flaming
9a786761-cd39-48e1-b387-41ddbc798162,Lightning
beec74d1-6a71-4237-80b8-32e0f40bf430,Natural
d213492e-e448-4e27-9aa8-24212ac41ee6,Lightning
ed19ee33-ef9b-4a18-9723-6f16767f42bc,Natural
9056ac00-4249-41f0-9c21-17bd3c219424,Flaming
280e8049-cb9f-4ca1-b846-87e99344f22e,Flaming
3d1333b5-2b3d-441f-a8a8-113a5c5352b0,Flaming
1bb4f363-4c43-472e-8355-5478d3c249c0,Aquatic
ae9d2df6-43eb-4cda-a07c-b0c7e9efff46,Natural
d81d5afc-64b6-4682-ac5f-1deab04c7b41,Lightning
2faa8e85-727c-4c7b-a255-7e34044e690d,Lightning
cd4bbfe5-9f4e-4775-b7d8-a0c67fdddbe2,Lightning
156a15fd-a28c-4dfe-87f0-05053d7e0a23,Flaming
cf1e9aa5-9f4e-4446-ad66-c53dc172048d,Fairy
ca08977c-b82e-449c-a05d-c1a17f92279f,Fairy
b1264ed7-0b80-4852-9685-d1845db44345,Natural
cdd3c43a-5380-4a8b-bc37-bc00c2e31d98,Flaming
f35583a2-6261-4a15-963f-e29fd78cd5a3,Fairy
2c8563d5-9551-4ef4-bc0b-591ad754e218,Fairy
f54142cc-1642-4ced-9270-90e9d5dea5af,Natural
2ecb0a87-6612-4ccb-bc1e-d19fe8eae456,Lightning
8899d528-92da-49e2-a605-a1b730361ebd,Flaming
0f570137-87f8-4df0-af7c-c55411956fe7,Lightning
f2439906-efc4-44ee-85f1-61ca27ab33fc,Fairy
2a8efa2a-8bfa-43ef-b42d-fe2de0335244,Flaming
81a6ff23-75d2-4a68-a1d5-881c7975f8fe,Natural
0a81fc6d-d957-4c1a-91e6-3366954ee5e1,Flaming
acf1c09c-96ca-4ade-bb84-a5c22c2aaca4,Natural
a2e2d404-0151-4bb9-8afa-d8b2edb4ae41,Fairy
ed01251a-57ef-40e3-8eb8-7fbb99dbb84f,Flaming
e3c3e54a-c926-4760-b5d3-278ce2526156,Natural
06e45059-1639-4c45-a82f-02f8af776462,Natural
d8b395cd-376d-4a98-89d8-c7ae1992030c,Fairy
736cd488-89f7-4836-9e93-7b5e3ffee90b,Aquatic
87f425f5-b04b-4c70-a07b-992a6c4f9e53,Fairy
852df648-dafa-42b6-a1d5-cc4e238f48ff,Lightning
fa7e1e7d-881f-4968-b654-cf37362fe719,Natural
f931b147-e321-49e6-b807-797ac370b0db,Flaming
b3d9c5b2-0805-4410-97a1-c33db07b5394,Flaming
93b0e1bb-2aff-47b6-8c6b-e79536ca6197,Fairy
70c9fec5-7b29-45a7-a548-961d3f545e92,Fairy
a1c1b253-2a81-467d-bf84-33c41f84df7f,Aquatic
23cc049e-fb7b-44ac-a1bc-ad42d592cd4c,Natural
38cd6c1e-cc4b-4f47-a6bc-e87dac2e29cd,Flaming
b961eb0e-da70-43d8-977c-2f0c9635e462,Fairy
1a4dcac8-59ef-44d5-8b3b-c85f7c94cbdc,Aquatic
20e1a460-5402-4670-aba3-2c325ebbfbdd,Aquatic
692b9e20-0802-41e7-8286-007bfa3e9323,Fairy
4205d919-e5df-4902-b4b4-ecd970880d4f,Natural
c2f7f84a-0fc6-4407-82af-07c5fe08c67b,Fairy
96060976-3035-4916-ba4e-289ee340fdb3,Fairy
8232eb32-dd8e-4629-985a-a0d2b3564fdf,Aquatic
e3fcf86d-19db-4aee-8f97-ab2206499d83,Fairy
fac44658-5c71-428a-8a43-e6c7de28d6ee,Lightning
15809aa9-9c64-4c83-8d0d-5b0de6eb0df5,Lightning
9e536b3d-4b03-4127-ad69-b00ea772c57f,Natural
94712362-ab6a-46a1-a99f-414b12ba861a,Lightning
59f5c456-41b5-40bc-b692-b51762c74e4a,Lightning
5ca96246-e9c9-4474-b04f-dc5f987e52b7,Aquatic
c6e1bf3e-bca2-4c7c-aa40-ca4564d8aeb4,Flaming
57d028e0-864b-493d-bc26-ecafd249fec8,Fairy
edd00bc5-741e-4b1d-a4fa-ff7bb76985ff,Natural
dc811428-8274-41c0-b117-ab97d2716a3d,Natural
68a6676d-014c-404b-865a-3493d82a249a,Aquatic
1cb15c3e-1e43-4b65-bc97-18a8a0ea683f,Fairy
2197c4c9-156d-4099-82e8-a9651c4954e3,Aquatic
7e65554e-ce26-40de-8fb1-f31b8ef76017,Aquatic
f5f88007-3920-42ed-ae70-8c42f96b633a,Aquatic
745e718a-5b56-4346-98b4-c3a263d99235,Flaming
61424ac9-4ed0-473a-8e0c-2bbfecfd962e,Lightning
d1299044-eb83-4602-9d9c-ddcce5b911b8,Natural
1b3ac63d-0a45-4b72-9802-679efc2903ca,Lightning
eb10bd43-1b99-48c1-a4fb-20566a5df196,Flaming
138d52b6-275d-4786-9409-9a0835551a39,Lightning
69e9af4a-3063-403d-9b7b-4df117bcc0d9,Natural
